NAMESPACE                                                  LAST SEEN   TYPE      REASON                  OBJECT                                                 MESSAGE
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   40s         Normal    Pulling                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   Pulling image "bitnami/kubectl"
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   40s         Normal    Created                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   Created container sidecar-container-usage
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   40s         Normal    Pulled                  pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   Successfully pulled image "bitnami/kubectl" in 1.155649249s
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   39s         Normal    Pulled                  pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   Successfully pulled image "bitnami/kubectl" in 1.198391267s
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   39s         Normal    Created                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   Created container sidecar-container-output
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   38s         Normal    Started                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   Started container sidecar-container-output
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   32s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   MountVolume.SetUp failed for volume "pod-env-vars" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"pod-env-vars" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   32s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   MountVolume.SetUp failed for volume "kube-api-access-c62f9" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"kube-root-ca.crt" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   32s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   MountVolume.SetUp failed for volume "pod-nodeselectors" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"pod-nodeselectors" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   32s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   MountVolume.SetUp failed for volume "inputs-config-volume" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"inputs-config" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   32s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-gn9wj   MountVolume.SetUp failed for volume "cwl-config-volume" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"cwl-config" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   23s         Normal    SuccessfulCreate        job/wf-3015d57e-6101-11ee-94c1-0242ac11000f            Created pod: wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   23s         Normal    Scheduled               pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Successfully assigned hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw to eoepca
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   22s         Normal    Pulled                  pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Container image "terradue/calrissian:0.12.0" already present on machine
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   21s         Normal    Pulling                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Pulling image "bitnami/kubectl"
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   21s         Normal    Started                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Started container calrissian
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   21s         Normal    Created                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Created container calrissian
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   20s         Normal    Started                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Started container sidecar-container-usage
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   20s         Normal    Pulling                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Pulling image "bitnami/kubectl"
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   20s         Normal    Created                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Created container sidecar-container-usage
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   20s         Normal    Pulled                  pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Successfully pulled image "bitnami/kubectl" in 1.161483827s
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   19s         Normal    Pulled                  pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Successfully pulled image "bitnami/kubectl" in 1.122405291s
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   19s         Normal    Created                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Created container sidecar-container-output
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   19s         Normal    Started                 pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   Started container sidecar-container-output
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   12s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   MountVolume.SetUp failed for volume "pod-nodeselectors" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"pod-nodeselectors" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   12s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   MountVolume.SetUp failed for volume "inputs-config-volume" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"inputs-config" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   12s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   MountVolume.SetUp failed for volume "cwl-config-volume" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"cwl-config" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   12s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   MountVolume.SetUp failed for volume "kube-api-access-t5g6b" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"kube-root-ca.crt" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   12s         Warning   FailedMount             pod/wf-3015d57e-6101-11ee-94c1-0242ac11000f--1-22fsw   MountVolume.SetUp failed for volume "pod-env-vars" : object "hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f"/"pod-env-vars" not registered
hello-world-stac-1-13015d57e-6101-11ee-94c1-0242ac11000f   3s          Warning   BackoffLimitExceeded    job/wf-3015d57e-6101-11ee-94c1-0242ac11000f            Job has reached the specified backoff limit
